"cues","BOI","Concrete","SUBTLEX","AoA","n"
"baklava",5.454545455,4.32,1.2041,15.69,13
"balcony",4.739130435,4.68,2.5729,8.1,23
"ball",6.608695652,5,3.7287,2.9,16
"ballerina",4.695652174,4.61,2.0755,5.26,15
"balloon",5.523809524,4.92,2.6464,4.37,16
"balloonist",4.275862069,4.5,0.6021,9.94,16
"ballot",4.434782609,4.73,1.8451,8.83,10
"ballplayer",4.56,4.68,1.5185,7.42,14
"balm",4.583333333,3.68,1.4914,10.28,19
"bamboo",5.68,4.86,1.9085,9.28,18
"banana",6.107142857,5,2.7388,3.78,14
"band",4.384615385,4.68,3.4354,6.16,19
"bandage",6.304347826,4.85,2.1673,5.94,18
"bangle",5.115384615,4.38,0.7782,8.65,16
"banister",5.130434783,4.75,1.8325,10,18
"banjo",6.291666667,4.9,1.9243,8.44,17
"bank",4.72,4.78,3.637,6.44,17
"bankbook",5.363636364,4.81,0.9542,11.47,10
"banknote",4.52173913,4.88,0.8451,12.18,17
"banquet",4.538461538,4,2.4216,8.35,22
"barbecue",4.833333333,4.52,2.6599,7.83,17
"barber",4.958333333,4.59,2.4472,6.68,18
"barkeep",4.260869565,4.22,1.7076,14.37,19
"barley",4.541666667,4.59,1.6721,9.8,17
"barman",4.818181818,4.46,1.4624,13.33,13
"barn",5.173913043,4.79,2.8414,4.5,14
"barnacle",4.260869565,4.92,1.5185,11.6,15
"barrel",5.304347826,4.86,2.7348,7.72,15
"barrette",6,4.12,0.9542,6.71,14
"barricade",4.28,4.57,1.8808,11.18,16
"bartender",4.64,4.82,2.6981,8.9,21
"baseball",6.037037037,4.86,3.1103,4.83,17
"baseboard",5.375,4.9,1,10.71,15
"basement",4.6,4.89,3.0314,6.74,14
"basil",5.916666667,4.76,1.8451,10.13,14
"basin",4.818181818,4.63,1.9868,10,14
"basket",6.391304348,5,2.828,5.67,14
"basketball",6.25,4.97,3.0382,5.3,16
"bass",4.37037037,4.31,2.5866,8.63,20
"bassinet",5.375,4.71,1.2788,9.18,16
"bat",5.041666667,5,3.0224,4.85,21
"bath",5.964285714,4.85,3.2009,3.23,12
"bathe",5.214285714,4.19,2.1106,5,21
"bathroom",6,4.52,3.4978,3,20
"bathtub",6.565217391,4.92,2.4942,3.22,19
"baton",5.913043478,4.64,2.1644,7.94,16
"battery",4.8,4.67,2.8021,5.58,15
"battleship",4.36,4.81,1.9445,7.58,24
"bayonet",4.916666667,4.77,1.9085,11,15
"bazooka",5.041666667,4.66,1.6721,10.53,18
"beach",5.666666667,4.79,3.4607,4.8,14
"beachwear",6.304347826,4.64,0.4771,7.74,14
"bead",5.545454545,4.9,1.7634,5.63,21
"beagle",5.2,4.81,1.8129,7.39,16
"beaker",5.416666667,4.72,1.3617,11.25,16
"beanstalk",4.5,4.7,1.2788,6.05,19
"beard",5.565217391,4.96,2.8089,4.84,21
"beautician",4.608695652,4.69,1.0792,10.11,17
"bed",6.36,5,3.9797,2.89,14
"bedclothes",5.708333333,4.63,1,9,16
"bedpost",5.346153846,4.79,1.2304,6.62,14
"bedroom",5.708333333,4.9,3.2725,3.9,15
"bedspread",6.08,4.85,1.3802,7.72,20
"beef",5.714285714,4.74,3.0026,6.58,22
"beefcake",4.458333333,3.9,1,NA,16
"beefsteak",5.227272727,4.76,1.5798,10.26,12
"beer",5.791666667,4.88,3.5856,6.11,17
"beet",5.32,4.8,1.1761,6.56,17
"beetle",5.166666667,4.83,2.0253,5.32,14
"beggar",4.28,4.59,2.1038,7.63,10
"bell",5.76,4.96,3.3025,3.89,16
"bellboy",4.8,4.39,1.8062,7.95,14
"bellflower",4.428571429,4.26,0.6021,NA,18
"bellman",4.32,4.89,1.7482,10.11,14
"belly",5.846153846,4.8,2.9004,4.05,18
"belongings",5.173913043,3.88,2.1903,9.17,15
"belt",5.80952381,4.9,3.0945,4.62,19
"bench",6.166666667,4.87,2.6937,4.21,20
"beret",5.695652174,4.8,1.6902,10.33,14
"berry",5.523809524,4.93,2.2529,5.21,24
