"Cue","Target","AFS","AFSS","FSG","COS"
"adult","kiss",0.047619048,18,NA,NA
"adult","learn",0.095238095,18,NA,NA
"adult","order",0.047619048,18,NA,NA
"adult","pay",0.047619048,18,NA,NA
"adult","talk",0.047619048,18,NA,NA
"adult","teach",0.047619048,18,NA,NA
"adult","watch",0.047619048,18,NA,NA
"adult","work",0.047619048,18,NA,NA
"advisor","advice",0.06779661,27,NA,NA
"advisor","advise",0.033898305,27,NA,NA
"advisor","ask",0.152542373,27,NA,NA
"advisor","assist",0.016949153,27,NA,NA
"advisor","call",0.016949153,27,NA,NA
"advisor","decide",0.016949153,27,NA,NA
"advisor","email",0.016949153,27,NA,NA
"advisor","go",0.016949153,27,NA,NA
"advisor","guide",0.016949153,27,NA,NA
"advisor","help",0.13559322,27,NA,NA
"advisor","inform",0.016949153,27,NA,NA
"advisor","invest",0.016949153,27,NA,NA
"advisor","manage",0.016949153,27,NA,NA
"advisor","meet",0.016949153,27,NA,NA
"advisor","mentor",0.016949153,27,NA,NA
"advisor","need",0.016949153,27,NA,NA
"advisor","pay",0.016949153,27,NA,NA
"advisor","plan",0.050847458,27,NA,NA
"advisor","prepare",0.016949153,27,NA,NA
"advisor","question",0.06779661,27,NA,NA
"advisor","recommend",0.016949153,27,NA,NA
"advisor","resource",0.016949153,27,NA,NA
"advisor","schedule",0.050847458,27,NA,NA
"advisor","speak",0.06779661,27,NA,NA
"advisor","talk",0.06779661,27,NA,NA
"advisor","tell",0.016949153,27,NA,NA
"advisor","utilize",0.016949153,27,NA,NA
"afro","admire",0.034482759,18,NA,NA
"afro","brush",0.034482759,18,NA,NA
"afro","care",0.034482759,18,NA,NA
"afro","clean",0.034482759,18,NA,NA
"afro","comb",0.172413793,18,NA,NA
"afro","comfort",0.034482759,18,NA,NA
"afro","curl",0.034482759,18,NA,NA
"afro","cut",0.034482759,18,NA,NA
"afro","dry",0.068965517,18,NA,NA
"afro","dye",0.034482759,18,NA,NA
"afro","educate",0.034482759,18,NA,NA
"afro","pick",0.068965517,18,NA,NA
"afro","play",0.034482759,18,NA,NA
"afro","style",0.172413793,18,NA,NA
"afro","tease",0.034482759,18,NA,NA
"afro","touch",0.034482759,18,NA,NA
"afro","wash",0.068965517,18,NA,NA
"afro","wear",0.034482759,18,NA,NA
"aftershave","cool",0.041666667,16,NA,NA
"aftershave","drink",0.041666667,16,NA,NA
"aftershave","hydrate",0.041666667,16,NA,NA
"aftershave","moisturize",0.041666667,16,NA,NA
"aftershave","protect",0.041666667,16,NA,NA
"aftershave","rinse",0.041666667,16,NA,NA
"aftershave","rub",0.041666667,16,NA,NA
"aftershave","rub in",0.041666667,16,NA,NA
"aftershave","scoop",0.041666667,16,NA,NA
"aftershave","shave",0.166666667,16,NA,NA
"aftershave","smell",0.125,16,NA,NA
"aftershave","spray",0.083333333,16,NA,NA
"aftershave","throw",0.041666667,16,NA,NA
"aftershave","touch",0.041666667,16,NA,NA
"aftershave","wash",0.041666667,16,NA,NA
"aftershave","wear",0.125,16,NA,NA
"aircraft","adventure",0.026315789,25,NA,NA
"aircraft","build",0.026315789,25,NA,NA
"aircraft","carry",0.026315789,25,NA,NA
"aircraft","clean",0.026315789,25,NA,NA
"aircraft","crash",0.078947368,25,NA,0.041471279
"aircraft","flie",0.052631579,25,NA,NA
"aircraft","flow",0.026315789,25,NA,NA
"aircraft","fly",0.105263158,25,0.088,0.349064806
"aircraft","hold",0.026315789,25,NA,NA
"aircraft","land",0.052631579,25,NA,NA
"aircraft","lift",0.026315789,25,NA,NA
"aircraft","mail",0.026315789,25,NA,NA
"aircraft","pollute",0.026315789,25,NA,NA
"aircraft","ride",0.078947368,25,NA,0.157843145
"aircraft","send",0.052631579,25,NA,0.044763002
"aircraft","shoot",0.026315789,25,NA,NA
"aircraft","sightsee",0.026315789,25,NA,NA
"aircraft","sit",0.026315789,25,NA,NA
"aircraft","skydive",0.026315789,25,NA,NA
"aircraft","takeoff",0.026315789,25,NA,NA
"aircraft","toy",0.026315789,25,NA,NA
"aircraft","trade",0.026315789,25,NA,NA
"aircraft","transport",0.052631579,25,NA,NA
"aircraft","travel",0.078947368,25,NA,NA
"aircraft","watch",0.026315789,25,NA,NA
"aircraftsman","create",0.111111111,7,NA,NA
"aircraftsman","defense",0.111111111,7,NA,NA
"aircraftsman","explore",0.111111111,7,NA,NA
"aircraftsman","fly",0.333333333,7,NA,NA
"aircraftsman","pay",0.111111111,7,NA,NA
"aircraftsman","pilot",0.111111111,7,NA,NA
