"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","n.unique","n.unique.affordance","total.affordance"
"anchor",50,5.739130435,4.77,2.5786,5.72,6,25,22,53
"anchovy",26,4.428571429,4.96,0.9031,9.32,7,25,23,48
"animal",68,5.958333333,4.61,3.3657,2.89,6,38,34,117
"ankle",30,5.833333333,4.81,2.6128,4.89,5,25,22,72
"anklet",37,5.708333333,4.75,1.3424,9.06,6,38,30,86
"announcer",19,4.296296296,4.52,2.7597,6.85,9,25,21,35
"ant",44,4.84,4.86,2.4378,4.32,3,28,21,70
"antenna",42,4.695652174,4.75,2.0899,7.05,7,36,29,58
"antennae",51,4.538461538,4.85,1.4624,NA,8,29,21,56
"antibiotics",27,4.956521739,4.45,2.2742,9.55,11,30,22,47
"antihistamine",31,5.260869565,3.68,1.1139,12.93,13,34,24,48
"antique",59,4.423076923,3.75,2.4914,8.05,7,58,53,170
"antiseptics",29,5.041666667,3.96,0.6021,10.78,11,29,22,49
"anus",32,5.16,4.86,1.7559,11.17,4,34,26,46
"apartment",71,4.6,4.9,3.627,7.8,9,65,61,216
"apparatus",41,4.636363636,3.78,1.8921,10.9,9,35,22,58
"apparel",50,5.695652174,4.6,1.5563,10.8,7,30,28,91
"appendage",42,5,4.26,1.3424,11.58,9,27,23,63
"appetizer",31,6.12,4.71,1.7924,9.06,9,27,22,57
"apple",26,6.272727273,5,3.0821,4.15,5,28,26,83
"appliance",44,5.791666667,4.57,1.6232,8.78,9,37,31,107
"applicator",17,5.185185185,4.26,1.0414,10.74,10,25,22,41
"appraiser",33,4.428571429,3.62,1.0792,13.05,9,33,23,47
"apprentice",27,4.321428571,3.67,2,10.58,10,33,28,57
"apricot",40,6.291666667,4.97,1.5185,6.15,7,37,33,100
"apron",43,5.96,4.87,2.1367,6.75,5,38,38,115
"aquarium",49,5.782608696,4.77,2.1523,6.84,8,26,25,81
"arachnid",54,4.904761905,4.65,1.1461,11.88,8,30,23,78
"archives",21,4.333333333,3.93,2.1139,10.88,8,26,22,45
"arm",72,6.47826087,4.96,3.5234,3.26,3,35,32,155
"armband",35,5.347826087,4.67,1.1761,10,7,30,25,64
"armoire",26,4.904761905,4.52,0.9542,12.37,7,25,21,61
"armor",32,5.333333333,4.76,2.5717,7.17,5,28,27,64
"armpit",30,5.52,4.8,1.8129,6,6,26,20,45
"arrow",37,4.92,4.97,2.6031,6.07,5,29,26,67
"arrowhead",37,4.44,4.7,1.3424,NA,9,26,21,52
