"Cue","Target","AFS","FSG","COS"
"acorn","fall",0.00900900900900901,NA,NA
"acorn","feed",0.0720720720720721,NA,NA
"acorn","fight",0.00900900900900901,NA,NA
"acorn","food",0.027027027027027,NA,NA
"acorn","give",0.00900900900900901,NA,NA
"acorn","grind",0.00900900900900901,NA,NA
"acorn","grow",0.045045045045045,NA,NA
"acorn","hunt",0.00900900900900901,NA,NA
"acorn","kick",0.018018018018018,NA,NA
"acorn","object",0.00900900900900901,NA,NA
"acorn","paint",0.00900900900900901,NA,NA
"acorn","pick",0.036036036036036,NA,NA
"acorn","place",0.00900900900900901,NA,NA
"acorn","plan",0.018018018018018,NA,NA
"acorn","plant",0.0630630630630631,NA,NA
"acorn","play",0.018018018018018,NA,NA
"acorn","rake",0.00900900900900901,NA,NA
"acorn","roast",0.00900900900900901,NA,NA
"acorn","see",0.018018018018018,NA,NA
"acorn","smash",0.00900900900900901,NA,NA
"acorn","step",0.018018018018018,NA,NA
"acorn","step on",0.045045045045045,NA,NA
"acorn","store",0.018018018018018,NA,NA
"acorn","take",0.00900900900900901,NA,NA
"acorn","throw",0.0900900900900901,NA,NA
"acorn","toss",0.00900900900900901,NA,NA
"acorn","wash",0.00900900900900901,NA,NA
"acrobat","act",0.0188679245283019,NA,NA
"acrobat","applaud",0.0188679245283019,NA,NA
"acrobat","cheer",0.0377358490566038,NA,NA
"acrobat","climb",0.0188679245283019,NA,NA
"acrobat","compliment",0.0188679245283019,NA,NA
"acrobat","dance",0.0188679245283019,NA,NA
"acrobat","discipline",0.0188679245283019,NA,NA
"acrobat","entertain",0.207547169811321,NA,0.20804961
"acrobat","fight",0.0188679245283019,NA,NA
"acrobat","fly",0.0377358490566038,0.019,NA
"acrobat","hurt",0.0188679245283019,NA,NA
"acrobat","insult",0.0188679245283019,NA,NA
"acrobat","perform",0.0943396226415094,NA,NA
"acrobat","photograph",0.0188679245283019,NA,NA
"acrobat","promote",0.0188679245283019,NA,NA
"acrobat","reach",0.0566037735849057,NA,NA
"acrobat","revenue",0.0188679245283019,NA,NA
"acrobat","safety",0.0188679245283019,NA,NA
"acrobat","see",0.0188679245283019,NA,NA
"acrobat","smell",0.0188679245283019,NA,NA
"acrobat","sneak",0.0188679245283019,NA,NA
"acrobat","stunt",0.0188679245283019,NA,NA
"acrobat","swing",0.0188679245283019,NA,NA
"acrobat","talk",0.0188679245283019,NA,NA
"acrobat","teach",0.0188679245283019,NA,NA
"acrobat","trapeze",0.0188679245283019,NA,NA
"acrobat","trick",0.0377358490566038,NA,NA
"acrobat","video",0.0188679245283019,NA,NA
"acrobat","watch",0.0754716981132075,NA,NA
"acrobat","wear",0.0188679245283019,NA,NA
"acrobat","work",0.0188679245283019,NA,NA
"actor","act",0.152542372881356,NA,NA
"actor","admire",0.0169491525423729,NA,NA
"actor","ask",0.0169491525423729,NA,NA
"actor","boo",0.0169491525423729,NA,NA
"actor","clap",0.0169491525423729,NA,NA
"actor","create",0.0169491525423729,NA,NA
"actor","cry",0.0169491525423729,NA,NA
"actor","emotion",0.0169491525423729,NA,NA
"actor","entertain",0.0847457627118644,NA,0.350643509
"actor","fire",0.0169491525423729,NA,NA
"actor","hire",0.0169491525423729,NA,NA
"actor","jeer",0.0169491525423729,NA,NA
"actor","kiss",0.0169491525423729,NA,NA
"actor","laugh",0.0338983050847458,NA,NA
"actor","lie",0.0338983050847458,NA,NA
"actor","listen",0.0169491525423729,NA,NA
"actor","perform",0.11864406779661,NA,NA
"actor","play",0.101694915254237,0.027,NA
"actor","praise",0.0169491525423729,NA,NA
"actor","press",0.0169491525423729,NA,NA
"actor","pretend",0.0169491525423729,NA,0.483198938
"actor","punch",0.0169491525423729,NA,NA
"actor","run",0.0169491525423729,NA,NA
"actor","serve",0.0169491525423729,NA,NA
"actor","show",0.0169491525423729,NA,0.57125119
"actor","sign",0.0169491525423729,NA,NA
"actor","sing",0.0338983050847458,NA,NA
"actor","talk",0.0169491525423729,NA,NA
"actor","tell",0.0169491525423729,NA,NA
"actor","watch",0.0508474576271186,NA,0.121389495
"actor","yell",0.0169491525423729,NA,NA
"actress","act",0.115384615384615,0.013,NA
"actress","admire",0.0384615384615385,NA,NA
"actress","award",0.0128205128205128,NA,NA
"actress","bring",0.0128205128205128,NA,NA
"actress","compliment",0.0128205128205128,NA,NA
"actress","congratulate",0.0128205128205128,NA,NA
"actress","critique",0.0128205128205128,NA,NA
"actress","crush",0.0128205128205128,NA,NA
"actress","cry",0.0128205128205128,NA,NA
"actress","dance",0.0128205128205128,NA,NA
"actress","desire",0.0128205128205128,NA,NA
"actress","direct",0.0128205128205128,NA,NA
