Cue,Target,AFS,AFSS
accessory,look,0.018518519,26
accessory,lose,0.018518519,26
accessory,make,0.018518519,26
accessory,modify,0.018518519,26
accessory,personalize,0.018518519,26
accessory,return,0.018518519,26
accessory,sell,0.092592593,26
accessory,share,0.037037037,26
accessory,show,0.018518519,26
accessory,store,0.018518519,26
accessory,throw,0.037037037,26
accessory,wear,0.259259259,26
accordion,break,0.040816327,22
accordion,buy,0.040816327,22
accordion,cut,0.020408163,22
accordion,draw,0.020408163,22
accordion,enjoy,0.020408163,22
accordion,instrument,0.020408163,22
accordion,joy,0.020408163,22
accordion,learn,0.020408163,22
accordion,listen,0.020408163,22
accordion,move,0.020408163,22
accordion,music,0.224489796,22
accordion,perform,0.020408163,22
accordion,play,0.285714286,22
accordion,practice,0.040816327,22
accordion,press,0.020408163,22
accordion,produce,0.020408163,22
accordion,sell,0.020408163,22
accordion,squeeze,0.040816327,22
accordion,steal,0.020408163,22
accordion,step on,0.020408163,22
accordion,teach,0.020408163,22
accordion,tune,0.020408163,22
accountant,add,0.043478261,31
accountant,ask,0.02173913,31
accountant,bank,0.02173913,31
accountant,calculate,0.043478261,31
accountant,call,0.043478261,31
accountant,combine,0.02173913,31
accountant,consult,0.02173913,31
accountant,count,0.043478261,31
accountant,divide,0.02173913,31
accountant,expenses,0.02173913,31
accountant,file,0.02173913,31
accountant,help,0.02173913,31
accountant,manage,0.043478261,31
accountant,multiply,0.02173913,31
accountant,note,0.02173913,31
accountant,organize,0.043478261,31
accountant,paperwork,0.02173913,31
accountant,pay,0.02173913,31
accountant,record,0.02173913,31
accountant,return,0.02173913,31
accountant,see,0.043478261,31
accountant,speak,0.02173913,31
accountant,spend,0.02173913,31
accountant,study,0.02173913,31
accountant,subtract,0.02173913,31
accountant,tabulat,0.02173913,31
accountant,take,0.02173913,31
accountant,talk,0.043478261,31
accountant,tax,0.108695652,31
accountant,track,0.02173913,31
accountant,work,0.086956522,31
acne,annoy,0.027777778,21
acne,bully,0.027777778,21
acne,bump,0.055555556,21
acne,care,0.111111111,21
acne,clean,0.027777778,21
acne,clear,0.055555556,21
acne,cover,0.083333333,21
acne,experiment,0.027777778,21
acne,hide,0.027777778,21
acne,identify,0.027777778,21
acne,iritate,0.027777778,21
acne,irritate,0.027777778,21
acne,medicate,0.027777778,21
acne,pick,0.083333333,21
acne,pop,0.138888889,21
acne,scar,0.027777778,21
acne,scare,0.027777778,21
acne,spread,0.027777778,21
acne,study,0.027777778,21
acne,treat,0.083333333,21
acne,wash,0.027777778,21
acorn,bait,0.012658228,28
acorn,bury,0.025316456,28
acorn,collect,0.037974684,28
acorn,cook,0.025316456,28
acorn,crack,0.025316456,28
acorn,create,0.012658228,28
acorn,crush,0.012658228,28
acorn,decorate,0.050632911,28
acorn,dodge,0.012658228,28
acorn,eat,0.139240506,28
acorn,fall,0.012658228,28
acorn,feed,0.113924051,28
acorn,fight,0.012658228,28
acorn,food,0.037974684,28
acorn,give,0.025316456,28
acorn,grow,0.025316456,28
acorn,kick,0.012658228,28
acorn,pick,0.050632911,28
acorn,plan,0.012658228,28
